"","CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","CO01_01","CO02_01","CO03_01","CO04_01","CO05_01","CO06_01","CO07_01","CO08_01","CO09_01","CO10_01","CO11_01","CO12_01","CO13_01","CO14_01","CO15_01","CO16_01","CO18_01","CO17_01","CO19_01","CO20_01","RA01_CP","RA01x01","RA01x02","RA01x03","RA01x04","RA01x05","RA01x06","RA01x07","RA01x08","RA01x09","RA01x10","RA01x11","RA01x12","RA01x13","RA01x14","RA01x15","RA01x16","RA01x17","RA01x18","RA01x19","RA01x20","DE01","DE02_01","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","TIME026","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME041","TIME042","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE"
"24",64,NA,NA,"base","interview","2020-06-25 13:55:35",87,68,62,76,99,3,16,28,57,45,99,33,23,54,64,71,29,16,12,57,28,19,15,10,17,20,1,4,7,13,9,18,8,5,12,14,16,3,6,2,11,2,"love you hon <3",23,2,39,1,3,1,3,1,4,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,2,1,4,1,2,1,2,1,2,1,10,1,2,1,2,1,2,22,99,NA,"2020-06-25 13:58:12",TRUE,FALSE,42,42
"30",71,NA,NA,"base","interview","2020-06-27 16:43:56",58,47,7,14,67,86,27,88,41,61,73,94,49,65,19,40,92,12,63,22,31,10,9,2,3,15,17,6,18,7,14,16,19,11,13,5,8,1,20,12,4,2,"29",17,2,5,2,5,1,4,1,3,1,4,1,4,1,3,2,3,1,5,1,3,1,3,2,3,1,7,2,2,2,4,2,3,2,3,1,3,1,4,1,2,8,122,NA,"2020-06-27 16:46:03",TRUE,FALSE,42,42
"31",73,NA,NA,"base","interview","2020-07-04 09:02:18",26,15,86,22,6,29,63,55,98,58,79,59,46,66,79,7,44,27,61,85,33,7,2,16,4,1,6,13,12,19,11,20,10,9,15,18,5,3,8,14,17,2,"27",38,2,6,1,3,2,4,2,30,2,6,1,4,2,4,1,4,1,4,1,4,1,10,1,4,1,4,1,3,2,4,2,3,1,3,1,4,2,3,1,5,9,149,NA,"2020-07-04 09:05:25",TRUE,FALSE,42,42
"32",74,NA,NA,"base","interview","2020-07-04 09:02:20",4,40,43,83,79,89,41,61,46,71,48,21,58,89,71,61,91,27,22,48,34,2,7,8,17,16,18,5,13,6,14,9,1,12,19,15,11,4,20,3,10,2,"21",58,1,4,2,4,1,5,1,5,1,4,1,4,2,3,1,4,1,3,2,3,1,4,1,3,2,2,2,2,2,3,1,2,1,3,1,2,1,3,1,3,9,156,NA,"2020-07-04 09:05:00",TRUE,FALSE,42,42
"33",76,NA,NA,"base","interview","2020-07-04 09:02:23",56,26,29,54,73,56,33,86,84,12,55,70,84,39,12,15,84,15,86,84,36,5,7,6,13,14,12,8,17,18,3,10,11,20,9,4,1,2,15,19,16,2,"24",22,1,13,1,4,1,4,2,3,1,3,1,3,1,3,1,3,1,4,1,4,1,3,1,5,1,2,2,2,2,2,2,2,2,3,1,3,1,3,1,3,8,125,NA,"2020-07-04 09:04:30",TRUE,FALSE,42,42
"34",77,NA,NA,"base","interview","2020-07-04 09:02:25",62,29,67,66,99,12,80,22,9,49,12,86,34,87,63,10,96,51,42,90,37,15,6,11,13,20,4,14,5,3,12,2,16,7,17,10,1,8,19,9,18,2,"19",32,2,5,1,4,2,4,1,3,1,4,1,5,1,6,1,3,2,3,1,7,1,4,1,8,1,4,1,4,1,5,1,4,1,3,2,3,1,6,1,6,8,140,NA,"2020-07-04 09:05:00",TRUE,FALSE,42,42
"35",78,NA,NA,"base","interview","2020-07-04 09:02:27",57,6,56,25,9,97,29,46,42,32,67,93,19,72,8,51,47,48,5,81,38,10,1,13,5,20,18,7,14,8,6,15,19,4,16,3,12,11,9,2,17,1,"31",15,1,8,2,4,2,3,1,3,1,5,2,3,1,3,1,2,1,3,1,2,1,3,1,2,1,2,1,3,1,2,1,3,1,2,1,2,1,2,1,3,6,102,NA,"2020-07-04 09:04:11",TRUE,FALSE,42,42
"36",79,NA,NA,"base","interview","2020-07-04 09:02:33",18,7,62,51,88,85,38,71,34,27,77,46,71,84,29,83,76,87,20,71,39,4,2,11,3,17,10,8,15,7,1,12,9,14,19,6,18,20,16,5,13,1,"21",2887,1,9,1,3,1,3,1,3,1,3,1,9,1,4,1,3,1,3,1,4,1,2,1,5,1,2,1,8,1,3,1,2,2,2,1,6,1,5,1,3,6,105,NA,"2020-07-04 09:52:29",TRUE,FALSE,42,42
"37",80,NA,NA,"base","interview","2020-07-04 09:02:37",99,83,62,29,97,4,75,65,35,99,67,21,64,13,71,32,66,2,82,50,40,17,18,10,5,19,1,11,12,7,20,9,4,14,3,15,6,2,13,16,8,2,"20",23,1,7,2,4,1,4,1,4,1,4,1,4,1,3,2,3,1,3,1,3,1,3,2,3,1,4,1,3,1,3,1,3,1,5,1,4,1,3,1,4,6,124,NA,"2020-07-04 09:04:44",TRUE,FALSE,42,42
"38",81,NA,NA,"base","interview","2020-07-04 09:02:41",4,58,36,64,59,7,33,62,63,63,11,2,75,56,28,33,81,73,89,97,41,2,14,8,13,10,3,6,11,12,15,5,1,16,9,4,7,17,18,19,20,1,"22",78,1,7,2,5,1,3,1,11,1,7,1,4,1,4,1,5,1,5,1,4,1,5,1,3,1,4,1,6,1,6,1,6,1,3,1,3,1,2,1,2,9,123,NA,"2020-07-04 09:06:04",TRUE,FALSE,42,42
